90142,./cases/total/c90142.py,https://github.com/pytorch/pytorch/issues/90142,1.14.0,"['1.14.0', '1.1']","['Conv', 'conv', 'size']",torch.nn.Conv1d,s
89903,./cases/total/c89903.py,https://github.com/pytorch/pytorch/issues/89903,1.12.0,"['1.1', '1.12.0', '0.12.0', '11.2']","['negative', 'real', 'pow']",torch.pow,v
89817,./cases/total/c89817.py,https://github.com/pytorch/pytorch/issues/89817,1.13.0,"['1.13.0', '1.8', '0.10.3', '1.1', '11.7']","['float', 'prod']",torch.Tensor.float,s
89757,./cases/total/c89757.py,https://github.com/pytorch/pytorch/issues/89757,None,['0.0'],"['gradient', 'pow']",torch.pow,v
89714,./cases/total/c89714.py,https://github.com/pytorch/pytorch/issues/89714,1.13.0,"['1.13.0', '1.1', '0.13.0', '0.14.0']","['one_hot', 'ne_']",torch.nn.functional.one_hot,s
89648,./cases/total/c89648.py,https://github.com/pytorch/pytorch/issues/89648,1.14.0,"['1.14.0', '1.1', '11.6', '0.13.1']","['fractional_max_pool', 'max_pool', 'frac']",torch.nn.functional.fractional_max_pool3d,s
89034,./cases/total/c89034.py,https://github.com/pytorch/pytorch/issues/89034,1.13.0,None,"['numpy', 'Conv', 'conv']",torch.Tensor.numpy,v
88942,./cases/total/c88942.py,https://github.com/pytorch/pytorch/issues/88942,1.14.0,"['1.14.0', '1.1']","['svd_lowrank', 'ger', 'svd']",torch.svd_lowrank,s
88941,./cases/total/c88941.py,https://github.com/pytorch/pytorch/issues/88941,1.14.0,"['1.14.0', '1.1']","['lstsq', 'ger']",torch.lstsq,s
88939,./cases/total/c88939.py,https://github.com/pytorch/pytorch/issues/88939,1.14.0,"['1.14.0', '1.1']","['interpolate', 'addr', 'erf']",torch.nn.functional.interpolate,s
88890,./cases/total/c88890.py,https://github.com/pytorch/pytorch/issues/88890,1.13.0,"['1.13.0', '0.0', '1.5.1', '1.1', '11.7', '0.13.0', '0.14.0']","['triangular_solve', 'transpose', 'solve']",torch.triangular_solve,v
88684,./cases/total/c88684.py,https://github.com/pytorch/pytorch/issues/88684,1.13.0,"['1.7', '1.13.0', '0.10.0', '1.1', '0.13.0']","['le_', 'save', 'tan']",torch.save,s
88658,./cases/total/c88658.py,https://github.com/pytorch/pytorch/issues/88658,1.13.0,"['1.13.0', '1.12.3', '1.1', '0.13.0', '0.14.0']","['Linear', 'any', 'cat']",torch.nn.Linear,s
88652,./cases/total/c88652.py,https://github.com/pytorch/pytorch/issues/88652,1.11.0,"['1.7', '0.10.0', '1.1', '0.12.0', '1.11.0']","['linspace', 'numpy', 'diff']",torch.linspace,v
88470,./cases/total/c88470.py,https://github.com/pytorch/pytorch/issues/88470,1.13.0,"['1.7', '4.0', '1.13.0', '0.4.1', '3.0.0', '0.10.0', '1.1', '11.6', '0.13.0', '0.14.0']","['where', 'float']",torch.where,s
88464,./cases/total/c88464.py,https://github.com/pytorch/pytorch/issues/88464,1.13.0,"['1.13.0', '1.1', '0.13.0', '0.14.0']","['negative', 'MaxPool', 'maxpool']",torch.nn.MaxPool1d,s
88331,./cases/total/c88331.py,https://github.com/pytorch/pytorch/issues/88331,1.13.0,"['1.7', '1.13.0', '0.10.1', '0.2.3', '2.0', '2.0.2', '1.12.1', '2.5.0', '1.1', '0.14.0']","['GroupNorm', 'norm', 'gradient']",torch.nn.GroupNorm,v
88147,./cases/total/c88147.py,https://github.com/pytorch/pytorch/issues/88147,1.13.0,"['1.7', '1.13.0', '0.7.0', '0.2.0', '1.1', '11.6', '0.13.0']","['diff', 'Conv', 'conv']",torch.nn.Conv2d,v
88038,./cases/total/c88038.py,https://github.com/pytorch/pytorch/issues/88038,1.13.0,['11.7'],"['fft', 'randn', 'trace']",torch.fft.fft,s
87757,./cases/total/c87757.py,https://github.com/pytorch/pytorch/issues/87757,1.13.0,"['1.13.0', '1.1', '11.3', '0.14.0']","['CosineAnnealingWarmRestarts', 'diff', 'sin']",torch.optim.lr_scheduler.CosineAnnealingWarmRestarts,s
87354,./cases/total/c87354.py,https://github.com/pytorch/pytorch/issues/87354,1.12.1,None,"['Conv', 'conv', 'size']",torch.nn.Conv3d,v
87353,./cases/total/c87353.py,https://github.com/pytorch/pytorch/issues/87353,1.12.1,['1.12.1'],"['istft', 'stft', 'fft']",torch.stft,v
86798,./cases/total/c86798.py,https://github.com/pytorch/pytorch/issues/86798,1.12.1.,None,"['conv_transpose', 'transpose', 'Conv']",torch.nn.functional.conv_transpose2d,v
86791,./cases/total/c86791.py,https://github.com/pytorch/pytorch/issues/86791,1.12.1,['1.12.1'],"['clamp_', 'clamp', 'Conv']",torch.nn.Conv2d,s
86535,./cases/total/c86535.py,https://github.com/pytorch/pytorch/issues/86535,1.12.1,"['0.12.1', '1.12.1', '0.13.1', '1.1', '11.6']","['avgpool', 'AvgPool', 'Conv']",torch.nn.Conv2d,s
86305,./cases/total/c86305.py,https://github.com/pytorch/pytorch/issues/86305,1.13.0,"['1.13.0', '1.0']","['cuda', 'sin', 'inv']",torch.linalg.inv,s
85439,./cases/total/c85439.py,https://github.com/pytorch/pytorch/issues/85439,1.13.0,['1.13.0'],"['aminmax', 'empty', 'amin']",torch.aminmax,s
85111,./cases/total/c85111.py,https://github.com/pytorch/pytorch/issues/85111,1.13.0,"['1.13.0', '1.1', '0.13.0', '0.14.0']","['float', 'Conv', 'conv']",torch.nn.functional.conv1d,s
84407,./cases/total/c84407.py,https://github.com/pytorch/pytorch/issues/84407,1.12.0,['1.1'],"['istft', 'stft', 'inverse']",torch.stft,v
83863,./cases/total/c83863.py,https://github.com/pytorch/pytorch/issues/83863,1.12.1,"['1.1', '1.12.1', '0.13.1', '0.12.1']","['matmul', 'float', 'mul']",torch.matmul,s
83828,./cases/total/c83828.py,https://github.com/pytorch/pytorch/issues/83828,1.12.1,"['1.0', '0.1.5', '1.12.1', '1.1', '11.6']",['clamp'],torch.clamp,s
83818,./cases/total/c83818.py,https://github.com/pytorch/pytorch/issues/83818,1.12.0,['1.12.0'],"['size', 'eigh', 'ger']",torch.linalg.eigh,s
83328,./cases/total/c83328.py,https://github.com/pytorch/pytorch/issues/83328,1.8.1,['1.8.1'],"['float', 'Conv', 'conv']",torch.nn.Conv2d,s
83314,./cases/total/c83314.py,https://github.com/pytorch/pytorch/issues/83314,1.8.1,['1.8.1'],"['equal', 'cpu', 'randint']",torch.equal,v
83244,./cases/total/c83244.py,https://github.com/pytorch/pytorch/issues/83244,1.8.1,['1.8.1'],"['upsample', 'Upsample', 'Parameter']",torch.nn.Upsample,s
83149,./cases/total/c83149.py,https://github.com/pytorch/pytorch/issues/83149,1.12.0,"['0.9.3', '1.6', '1.1', '1.12.0', '0.13.0']","['transpose', 'float', 'take']",torch.transpose,v
83071,./cases/total/c83071.py,https://github.com/pytorch/pytorch/issues/83071,1.8.1,['1.8.1'],"['adaptive_max_pool', 'max_pool', 'negative']",torch.nn.functional.adaptive_max_pool1d,v
82878,./cases/total/c82878.py,https://github.com/pytorch/pytorch/issues/82878,1.7.1,['1.7.1'],"['topk', 'cuda', 'select']",torch.topk,s
82494,./cases/total/c82494.py,https://github.com/pytorch/pytorch/issues/82494,None,None,"['clamp', 'cpu', 'sin']",torch.clamp,s
82107,./cases/total/c82107.py,https://github.com/pytorch/pytorch/issues/82107,None,None,"['sparse_', 'softmax', 'Softmax']",torch.sparse.softmax,s
